"Time Block","Time","DHARI-LT46-NPCL(34MW) UPPCL DC/ Entitlement (MW)","DHARI-LT46-NPCL(34MW) UPPCL SG (MW)","GBHHPL UPPCL DC/ Entitlement (MW)","GBHHPL UPPCL SG (MW)","KARCHAM HEP-LT26-UPPCL UPPCL DC/ Entitlement (MW)","KARCHAM HEP-LT26-UPPCL UPPCL SG (MW)","KSK LT-53 (770) UPPCL DC/ Entitlement (MW)","KSK LT-53 (770) UPPCL SG (MW)","MBP-LT39-UPPCL UPPCL DC/ Entitlement (MW)","MBP-LT39-UPPCL UPPCL SG (MW)","MBP-LT51 (169) UPPCL DC/ Entitlement (MW)","MBP-LT51 (169) UPPCL SG (MW)","RKM-LT49-UPPCL(200MW) UPPCL DC/ Entitlement (MW)","RKM-LT49-UPPCL(200MW) UPPCL SG (MW)","TEESTA-III UPPCL DC/ Entitlement (MW)","TEESTA-III UPPCL SG (MW)","TRN LT-52 (390) UPPCL DC/ Entitlement (MW)","TRN LT-52 (390) UPPCL SG (MW)","Total Total UPPCL DC/ Entitlement(MW)","Total Total UPPCL SG(MW)"
"1","00:00-00:15","171","171","0","0","0","0","1000","550","94.98","94.98","83.61","83.61","350","192.5","0","0","390","331.5","2089.6","1423.6"
"2","00:15-00:30","171","171","0","0","0","0","1000","550","94.98","94.98","83.61","83.61","350","192.5","0","0","390","273","2089.6","1365.1"
"3","00:30-00:45","171","171","0","0","0","0","1000","550","94.98","94.98","83.61","83.61","350","192.5","0","0","390","214.5","2089.6","1306.6"
"4","00:45-01:00","171","171","0","0","0","0","1000","550","94.98","94.98","83.61","83.61","350","192.5","0","0","390","214.5","2089.6","1306.6"
"5","01:00-01:15","171","171","0","0","0","0","1000","550","94.98","94.98","83.61","83.61","350","192.5","0","0","390","214.5","2089.6","1306.6"
"6","01:15-01:30","171","171","0","0","0","0","1000","550","94.98","94.98","83.61","83.61","350","192.5","0","0","390","214.5","2089.6","1306.6"
"7","01:30-01:45","171","171","0","0","0","0","1000","550","94.98","94.98","83.61","83.61","350","192.5","0","0","390","214.5","2089.6","1306.6"
"8","01:45-02:00","171","171","0","0","0","0","1000","550","94.98","94.98","83.61","83.61","350","192.5","0","0","390","214.5","2089.6","1306.6"
"9","02:00-02:15","171","171","0","0","0","0","1000","550","94.98","94.98","83.61","83.61","350","192.5","0","0","390","214.5","2089.6","1306.6"
"10","02:15-02:30","171","171","0","0","0","0","1000","550","94.98","94.98","83.61","83.61","350","192.5","0","0","390","214.5","2089.6","1306.6"
"11","02:30-02:45","171","171","0","0","0","0","1000","550","94.98","94.98","83.61","83.61","350","192.5","0","0","390","214.5","2089.6","1306.6"
"12","02:45-03:00","171","171","0","0","0","0","1000","550","94.98","94.98","83.61","83.61","350","192.5","0","0","390","214.5","2089.6","1306.6"
"13","03:00-03:15","171","171","0","0","0","0","1000","550","94.98","94.98","83.61","83.61","350","192.5","0","0","390","214.5","2089.6","1306.6"
"14","03:15-03:30","171","171","0","0","0","0","1000","550","94.98","94.98","83.61","83.61","350","192.5","0","0","390","214.5","2089.6","1306.6"
