"Time Block","Time","ANPARA-A UPPCL DC/ Entitlement (MW)","ANPARA-A UPPCL SG (MW)","ANPARA-B UPPCL DC/ Entitlement (MW)","ANPARA-B UPPCL SG (MW)","ANPARA-D UPPCL DC/ Entitlement (MW)","ANPARA-D UPPCL SG (MW)","HARDUAGANJ UPPCL DC/ Entitlement (MW)","HARDUAGANJ UPPCL SG (MW)","HARDUAGANJ D UPPCL DC/ Entitlement (MW)","HARDUAGANJ D UPPCL SG (MW)","Harduaganj 1X660 MW UPRVUNL UPPCL DC/ Entitlement (MW)","Harduaganj 1X660 MW UPRVUNL UPPCL SG (MW)","Jawaharpur Vidyut Utapadan Nigam Ltd Distt Etah UPPCL DC/ Entitlement (MW)","Jawaharpur Vidyut Utapadan Nigam Ltd Distt Etah UPPCL SG (MW)","OBRA C UPPCL DC/ Entitlement (MW)","OBRA C UPPCL SG (MW)","OBRA-B UPPCL DC/ Entitlement (MW)","OBRA-B UPPCL SG (MW)","PARICHHA-B UPPCL DC/ Entitlement (MW)","PARICHHA-B UPPCL SG (MW)","PARICHHA-C UPPCL DC/ Entitlement (MW)","PARICHHA-C UPPCL SG (MW)","Panki Thermal Extension Project 1X660 UPPCL DC/ Entitlement (MW)","Panki Thermal Extension Project 1X660 UPPCL SG (MW)","Total Total UPPCL DC/ Entitlement(MW)","Total Total UPPCL SG(MW)"
"1","00:00-00:15","330","317.04","0","0","930","648.76","90","0","455","0","609.51","335.23","1244.1","0","1237.5","680.62","650","397.32","375","210.22","455","250.26","622.05","342.13","6998.2","3181.6"
"2","00:15-00:30","425","317.04","0","0","930","648.76","90","0","455","0","609.51","335.23","1244.1","0","1237.5","680.62","650","397.32","375","210.22","455","250.26","622.05","342.13","7093.2","3181.6"
"3","00:30-00:45","475","317.04","0","0","930","789.38","90","0","455","0","609.51","335.23","1244.1","0","1237.5","680.62","650","397.32","375","210.22","455","250.26","622.05","342.13","7143.2","3322.2"
"4","00:45-01:00","475","317.04","0","0","930","789.38","90","0","455","0","609.51","335.23","1244.1","0","1237.5","680.62","650","397.32","375","210.22","455","250.26","622.05","342.13","7143.2","3322.2"
"5","01:00-01:15","475","317.04","0","0","930","930","90","0","455","0","609.51","335.23","1244.1","0","1237.5","680.62","650","397.32","375","210.22","455","250.26","622.05","342.13","7143.2","3462.8"
"6","01:15-01:30","475","317.04","0","0","930","930","90","0","455","0","609.51","335.23","1244.1","0","1237.5","680.62","650","397.32","375","210.22","455","250.26","622.05","342.13","7143.2","3462.8"
"7","01:30-01:45","525","317.04","0","0","937.5","937.5","90","0","455","0","609.51","335.23","1244.1","0","1237.5","680.62","650","397.32","375","210.22","455","250.26","622.05","342.13","7200.7","3470.3"
"8","01:45-02:00","525","317.04","0","0","937.5","937.5","90","0","455","0","609.51","335.23","1244.1","0","1237.5","680.62","650","397.32","375","210.22","455","250.26","622.05","342.13","7200.7","3470.3"
"9","02:00-02:15","525","317.04","0","0","937.5","796.88","90","0","455","0","609.51","335.23","1244.1","0","1237.5","680.62","650","397.32","375","210.22","455","250.26","622.05","342.13","7200.7","3329.7"
"10","02:15-02:30","525","317.04","0","0","937.5","796.88","90","0","455","0","609.51","335.23","1244.1","0","1237.5","680.62","650","397.32","375","210.22","455","250.26","622.05","342.13","7200.7","3329.7"
